Date,Crossroads,Road,Car_7-9,Van_7-9,Bus_7-9,Minibus_7-9,Truck_7-9,3Cycle_7-9,Car_9-17,Van_9-17,Bus_9-17,Minibus_9-17,Truck_9-17,3Cycle_9-17,Car_17-19,Van_17-19,Bus_17-19,Minibus_17-19,Truck_17-19,3Cycle_17-19,Total_Vol,Lat,Long,Lat.,Lon.
2023-01-03,พรานนก,อิสรภาพ,1579,379.0,21,7,21,168,6395,1920.0,111,22,134,607,1911.0,473,33,9,14,153,13957.0,13.7555746356133,100.477959743133,,
2023-01-03,พรานนก,พานนก,3374,704.0,54,0,16,107,9819,2534.0,176,1,79,440,2149.0,623,33,0,26,103,20238.0,13.7555746356133,100.477959743133,,
2023-01-04,เพชรเกษม - พุทธมณฑลสาย 1,พุทธมณฑลสาย 1,1869,422.0,0,0,11,20,4938,1509.0,0,0,100,56,1328.0,320,1,0,6,2,10582.0,13.7124126706874,100.42851254132,,
2023-01-04,เพชรเกษม - พุทธมณฑลสาย 1,เพชรเกษม,6231,1848.0,243,0,77,190,21038,7398.0,986,2,633,597,5703.0,1751,166,0,68,61,46992.0,13.7124126706874,100.42851254132,,
2023-01-05,ศรีอุดม,ศรีนคริน,7774,2607.0,93,4,103,5,27603,10526.0,326,13,736,12,7772.0,2585,81,4,95,0,60339.0,13.6777494839136,100.646059270259,,
2023-01-05,ศรีอุดม,อุดมสุข,3649,1304.0,1,1,47,5,12700,5544.0,3,1,305,27,3264.0,1113,3,0,14,8,27989.0,13.6777494839136,100.646059270259,,
2023-01-09,สวนสน,ซอยรามคำแหง 60,513,143.0,0,0,6,0,1711,604.0,0,0,31,3,471.0,143,0,0,4,2,3631.0,13.763111717941,100.648675693842,,
2023-01-09,สวนสน,พ่วงศิริ,1021,249.0,3,0,1,11,3236,1208.0,11,0,51,29,605.0,163,1,0,8,1,6598.0,13.763111717941,100.648675693842,,
2023-01-09,สวนสน,รามคำแหง,3332,825.0,69,0,24,5,13737,5120.0,277,0,268,62,3314.0,1174,67,0,13,6,28293.0,13.763111717941,100.648675693842,,
2023-01-10,สรรพาวุธ,ทางรถไฟสายปากน้ำ,760,280.0,0,0,58,3,2949,1866.0,1,2,3449,6,1313.0,704,3,2,878,0,12274.0,13.6761416867278,100.591192838511,,
2023-01-10,สรรพาวุธ,สรรพาวุธ,2019,497.0,4,0,336,4,3731,2088.0,9,0,2173,9,604.0,263,8,0,222,0,11967.0,13.6761416867278,100.591192838511,,
2023-01-11,หัวลำโพง,มหาพฤฒาราม,1689,323.0,37,1,15,37,5504,1801.0,162,4,46,208,1354.0,296,36,0,7,53,11573.0,13.7378747435995,100.516273410461,,
2023-01-11,หัวลำโพง,พระรามที่ 4,7343,1538.0,162,1,38,189,24106,9466.0,739,10,456,1006,5987.0,2038,173,1,69,245,53567.0,13.7378747435995,100.516273410461,,
2023-01-12,ประเวศ,เฉลิมพระเกียรติ ร.9,2084,1038.0,15,0,68,5,5942,4788.0,26,1,665,14,1751.0,1281,6,0,93,3,17780.0,13.7213864904014,100.697801303384,,
2023-01-12,ประเวศ,อ่อนนุช,6968,2936.0,52,5,330,7,23831,11941.0,223,15,2588,36,6820.0,2747,58,4,313,6,58880.0,13.7213864904014,100.697801303384,,
2023-01-13,กรุงเทพกรีฑา-หมู่บ้านนักกีฬาแหลมทอง,หมู่บ้านนักกีฬาแหลมทอง,261,70.0,19,0,4,6,610,178.0,43,0,16,5,233.0,43,6,0,3,2,1499.0,13.7391790934789,100.692605559453,,
2023-01-13,กรุงเทพกรีฑา-หมู่บ้านนักกีฬาแหลมทอง,กรุงเทพกรีฑา,1496,569.0,16,0,17,6,4365,1853.0,91,0,81,49,1494.0,449,20,0,21,14,10541.0,13.7391790934789,100.692605559453,,
2023-01-16,ราชวงศ์,ราชวงศ์,408,132.0,44,0,8,127,2482,1249.0,122,0,115,816,536.0,231,21,0,11,213,6515.0,13.7423592731049,100.506948275917,,
2023-01-16,ราชวงศ์,เยาวราช,1177,318.0,68,36,6,130,6948,3095.0,205,106,90,864,2143.0,475,48,30,21,180,15940.0,13.7423592731049,100.506948275917,,
2023-01-17,เอส.เอ.บี,วรจักร,1256,313.0,65,0,12,147,6300,2374.0,238,0,118,858,1506.0,544,65,0,11,209,14016.0,13.7456388203581,100.505684246749,,
2023-01-17,เอส.เอ.บี,เจริญกรุง,4111,635.0,144,15,13,197,8919,2297.0,586,111,104,663,2720.0,611,162,21,12,181,21502.0,13.7456388203581,100.505684246749,,
2023-01-17,สามยอด,มหาไชย,4370,810.0,87,14,23,85,12280,5109.0,321,61,207,636,2401.0,836,87,15,27,154,27523.0,13.746935905809,100.503163811559,,
2023-01-17,สามยอด,เจริญกรุง,2222,419.0,96,27,5,162,4840,1647.0,409,155,40,571,696.0,103,66,50,4,129,11641.0,13.746935905809,100.503163811559,,
2023-01-18,บ้านแขก,ประชาธิปก,8406,2275.0,295,47,37,373,23453,8566.0,837,174,374,1346,5918.0,2015,224,54,33,344,54771.0,13.7308697920989,100.494689366724,,
2023-01-18,บ้านแขก,อิสรภาพ,1847,341.0,33,0,15,142,5391,1399.0,146,0,120,572,1656.0,435,49,0,16,138,12300.0,13.7308697920989,100.494689366724,,
2023-01-19,ท่าดินแดง,ท่าดินแดง,822,227.0,29,3,14,316,2949,1291.0,133,14,78,624,769.0,391,41,6,19,146,7872.0,13.7322992178685,100.502217160992,,
2023-01-19,ท่าดินแดง,สมเด็จเจ้าพระยา,2188,401.0,42,2,8,204,6367,2048.0,160,2,80,714,1519.0,449,56,1,17,146,14404.0,13.7322992178685,100.502217160992,,
2023-01-20,คลองสาน,เจริญนคร,1583,313.0,59,0,6,156,4839,1336.0,221,0,49,767,1130.0,297,75,0,8,234,11073.0,13.730066057333,100.508636494212,,
2023-01-20,คลองสาน,สมเด็จเจ้าพระยา,1012,168.0,30,6,9,105,4409,1280.0,116,11,63,311,1213.0,296,37,2,8,70,9146.0,13.730066057333,100.508636494212,,
2023-01-20,คลองสาน,ลาดหญ้า,1186,284.0,26,1,11,111,4070,1105.0,104,0,40,276,705.0,192,34,0,8,68,8221.0,13.730066057333,100.508636494212,,
2023-01-23,หน้าโรงเรียนสุเหร่าแสนแสบ,ประชาร่วมใจ,988,782.0,12,0,29,3,3822,3212.0,35,0,232,37,954.0,591,13,0,17,12,10739.0,13.8251628317428,100.751808254283,,
2023-01-23,สุวินทวงศ์ - นิมิตรใหม่,นิมิตรใหม่,3245,1689.0,7,3,241,4,8827,5240.0,33,8,1893,9,2165.0,1240,18,1,405,2,25030.0,13.8199404845426,100.742193769863,,
2023-01-23,สุวินทวงศ์ - นิมิตรใหม่,สุวินทวงศ์,4334,1727.0,22,0,284,2,12555,7002.0,105,0,1885,10,4167.0,2056,49,1,212,8,34419.0,13.8199404845426,100.742193769863,,
2023-01-24,สะพานพระพุทธยอดฟ้า,สะพานพระพุทธยอดฟ้า,5633,576.0,26,29,3,303,15674,2691.0,101,110,28,1340,2606.0,448,13,17,5,266,29869.0,13.7393094732591,100.497593812301,,
2023-01-24,สะพานพระปกเกล้า,สะพานพระปกเกล้า,8310,1816.0,172,22,42,241,20386,5529.0,858,123,314,921,5688.0,1122,281,14,31,262,46132.0,13.7388676914926,100.498530520548,,
2023-01-24,สะพานสมเด็จพระเจ้าตากสิน,สะพานสมเด็จพระเจ้าตากสิน,8263,1667.0,44,2,30,16,33644,9904.0,176,9,710,123,9674.0,1938,57,1,46,51,66355.0,13.719250372661,100.511854751171,,
2023-01-25,สะพานกรุงธน,สะพานกรุงธน,4847,878.0,129,0,23,17,20716,5331.0,691,0,625,34,5791.0,1209,146,0,70,18,40525.0,13.7810858471053,100.502432819252,,
2023-01-25,สะพานพระราม 8,สะพานพระราม 8,7934,1654.0,0,0,17,0,25075,9805.0,3,0,235,0,7409.0,1691,1,0,34,0,53858.0,13.7689037446682,100.497096775408,,
2023-01-25,สะพานสมเด็จพระปิ่นเกล้า,สะพานสมเด็จพระปิ่นเกล้า,12184,2342.0,273,11,74,167,36612,11613.0,1174,35,930,545,9793.0,2644,294,3,109,89,78892.0,13.7619450832721,100.490877627061,,
2023-01-26,สะพานกรุงเทพ,สะพานกรุงเทพ,4720,1090.0,63,5,65,93,15087,5061.0,281,18,473,412,4347.0,1028,82,7,17,84,32933.0,13.7009213484725,100.492126372163,,
2023-01-26,สะพานพระราม 3,สะพานพระราม 3,4565,1197.0,49,0,63,1,16723,6822.0,258,0,1452,8,3787.0,1185,96,0,132,2,36340.0,13.7011130421688,100.492445133017,,
2023-01-26,สะพานภูมิพล 1,สะพานภูมิพล 1,10386,2740.0,14,0,233,10,25772,12707.0,97,1,3293,33,9530.0,3066,27,1,339,4,68253.0,13.6689716003848,100.538563014259,,
2023-01-27,อุโมงค์รัชโยธิน,รัชดาภิเษก,9148,1779.0,11,0,73,13,28479,8862.0,34,0,851,34,7691.0,1941,10,0,84,8,59018.0,13.8270001084465,100.568259945148,,
2023-01-27,อุโมงค์เกษตร,งามวงศ์วาน-ประเสริฐมนูกิจ,9114,2196.0,32,0,49,9,27720,9938.0,120,0,1369,43,6963.0,2018,43,0,93,0,59707.0,13.8397285447377,100.57542364364,,
2023-01-27,อุโมงค์สุทธิสาร,รัชดาภิเษก,10269,1597.0,9,0,24,23,29522,6431.0,55,1,119,51,7248.0,1855,20,1,21,6,57252.0,13.7897158359825,100.574208991386,,
2023-01-27,สะพานพระราม 7,สะพานพระราม 7,7552,2070.0,79,7,107,5,28705,9317.0,419,28,850,17,8209.0,2160,126,9,142,9,59811.0,13.8143432004962,100.51405273208,,
2023-01-30,สามเหลี่ยมดินแดง,ราชปรารภ,3518,643.0,112,6,29,52,13744,3675.0,503,52,175,230,5496.0,847,131,19,31,95,29358.0,13.7628264215402,100.542739833148,,
2023-01-30,สามเหลี่ยมดินแดง,ราชวิถี 2,308,95.0,0,0,0,37,465,116.0,0,0,1,60,87.0,21,0,0,2,19,1211.0,13.7628264215402,100.542739833148,,
2023-01-30,สามเหลี่ยมดินแดง,ราชวิถี,1905,448.0,89,10,3,12,6970,2019.0,327,44,73,99,2380.0,525,78,13,18,15,15028.0,13.7628264215402,100.542739833148,,
2023-01-30,สามเหลี่ยมดินแดง,ดินแดง,4785,1344.0,173,12,42,49,13728,4314.0,559,60,287,180,3115.0,855,107,9,41,47,29707.0,13.7628264215402,100.542739833148,,
2023-01-30,อุโมงค์ดินแดง,ดินแดง,1747,420.0,88,18,26,29,7027,1896.0,349,66,236,126,1500.0,459,68,23,30,29,14137.0,13.7639800564714,100.547987301578,,
2023-01-31,วงเวียนหลักสี่,พหลโยธิน,9796,2046.0,216,2,105,8,36717,11959.0,893,2,1562,48,10656.0,2947,239,1,191,12,77400.0,13.8757391620101,100.596766533152,,
2023-01-31,วงเวียนหลักสี่,แจ้งวัฒนะ,10046,2005.0,93,15,169,0,31198,7883.0,419,29,767,25,6206.0,1596,83,10,163,1,60708.0,13.8757391620101,100.596766533152,,
