subdistrict_name,subdistrict_english_name,subdistrict_area,subdistrict_population_2566,subdistrict_density_2566,district_name,district_english_name
ขุมทอง,Khum Thong,21.695,"8,384",386.45,ลาดกระบัง,Lat Krabang
ทวีวัฒนา,Thawi Watthana,21.521,"23,801","1,105.94",ทวีวัฒนา,Thawi Watthana
วัดอรุณ,Wat Arun,0.834,"10,985","13,171.46",บางกอกใหญ่,Bangkok Yai
สามเสนใน,Sam Sen Nai,4.923,"29,479","5,988.02",พญาไท,Phaya Thai
จรเข้บัว,Chorakhe Bua,7.055,"25,929","3,675.27",ลาดพร้าว,Lat Phrao
กระทุ่มราย,Krathum Rai,38.132,"41,193","1,080.27",หนองจอก,Nong Chok
วังบูรพาภิรมย์,Wang Burapha Phirom,0.72,"8,489","11,790.28",พระนคร,Phra Nakhon
แสมดำ,Samae Dam,35.975,"122,482","3,404.64",บางขุนเทียน,Bang Khun Thian
บางบอนเหนือ,Bang Bon Nuea,15.203,"22,472","1,478.13",บางบอน,Bang Bon
ฉิมพลี,Chimphli,7.338,"23,238","3,166.80",ตลิ่งชัน,Taling Chan
บ้านพานถม,Ban Phan Thom,0.414,"5,439","13,137.68",พระนคร,Phra Nakhon
ลำปลาทิว,Lam Pla Thio,33.752,"26,171",775.39,ลาดกระบัง,Lat Krabang
วัดกัลยาณ์,Wat Kanlaya,0.785,"7,739","9,858.60",ธนบุรี,Thon Buri
บางระมาด,Bang Ramat,8.539,"20,059","2,349.10",ตลิ่งชัน,Taling Chan
คลองบางพราน,Khlong Bang Phran,5.423,"30,808","5,680.99",บางบอน,Bang Bon
หิรัญรูจี,Hiran Ruchi,0.691,"10,788","15,612.16",ธนบุรี,Thon Buri
ตลาดบางเขน,Talat Bang Khen,5.955,"26,727","4,488.16",หลักสี่,Lak Si
หนองค้างพลู,Nong Khang Phlu,17.036,"74,639","4,381.25",หนองแขม,Nong Khaem
หนองบอน,Nong Bon,14.513,"39,966","2,753.81",ประเวศ,Prawet
ทุ่งครุ,Thung Khru,17.976,"69,064","3,842.01",ทุ่งครุ,Thung Khru
ตลาดน้อย,Talat Noi,0.449,"6,336","14,111.36",สัมพันธวงศ์,Samphanthawong
บางพรม,Bang Phrom,4.253,"13,045","3,067.25",ตลิ่งชัน,Taling Chan
สวนหลวง,Suan Luang,9.251,"48,719","5,266.35",สวนหลวง,Suan Luang
คลองสองต้นนุ่น,Khlong Song Ton Nun,14.297,"67,200","4,700.29",ลาดกระบัง,Lat Krabang
ตลาดยอด,Talat Yot,0.193,"1,904","9,865.29",พระนคร,Phra Nakhon
นวลจันทร์,Nuan Chan,8.615,"43,855","5,090.54",บึงกุ่ม,Bueng Kum
ลาดกระบัง,Lat Krabang,10.823,"30,137","2,784.53",ลาดกระบัง,Lat Krabang
ราษฎร์พัฒนา,Rat Phatthana,9.009,"42,537","4,721.61",สะพานสูง,Saphan Sung
ตลาดพลู,Talat Phlu,1.823,"15,221","8,349.42",ธนบุรี,Thon Buri
โคกแฝด,Khok Faet,22.524,"35,046","1,555.94",หนองจอก,Nong Chok
ดอกไม้,Dokmai,15.172,"56,011","3,691.74",ประเวศ,Prawet
คู้ฝั่งเหนือ,Khu Fang Nuea,17.75,"18,222","1,026.59",หนองจอก,Nong Chok
ราษฎร์บูรณะ,Rat Burana,6.716,"29,022","4,321.32",ราษฎร์บูรณะ,Rat Burana
บางยี่เรือ,Bang Yiruea,1.523,"18,470","12,127.38",ธนบุรี,Thon Buri
พญาไท,Phaya Thai,4.672,"34,558","7,396.83",พญาไท,Phaya Thai
ทับช้าง,Thap Chang,10.968,"26,996","2,461.34",สะพานสูง,Saphan Sung
บางบอนใต้,Bang Bon Tai,8.939,"23,997","2,684.53",บางบอน,Bang Bon
สายไหม,Sai Mai,18.659,"80,736","4,326.92",สายไหม,Sai Mai
ท่าข้าม,Tha Kham,84.712,"62,677",739.88,บางขุนเทียน,Bang Khun Thian
คลองสามประเวศ,Khlong Sam Prawet,17.458,"15,947",913.45,ลาดกระบัง,Lat Krabang
บางมด,Bang Mot,12.765,"55,029","4,310.93",ทุ่งครุ,Thung Khru
พัฒนาการ,Phatthanakan,8.533,"30,676","3,594.98",สวนหลวง,Suan Luang
วัดสามพระยา,Wat Sam Phraya,0.522,"2,533","4,852.49",พระนคร,Phra Nakhon
บางซื่อ,Bang Sue,5.762,"77,277","13,411.49",บางซื่อ,Bang Sue
เสาชิงช้า,Sao Chingcha,0.153,"1,870","12,222.22",พระนคร,Phra Nakhon
บวรนิเวศ,Bowon Niwet,0.496,"3,575","7,207.66",พระนคร,Phra Nakhon
รามอินทรา,Ram Inthra,13.063,"48,050","3,678.33",คันนายาว,Khan Na Yao
คลองบางบอน,Khlong Bang Bon,5.18,"22,926","4,425.87",บางบอน,Bang Bon
บุคคโล,Bukkhalo,1.21,"16,075","13,285.12",ธนบุรี,Thon Buri
อนุสาวรีย์,Anusawari,18.406,"85,903","4,667.12",บางเขน,Bang Khen
ตลิ่งชัน,Taling Chan,5.183,"23,385","4,511.87",ตลิ่งชัน,Taling Chan
ดินแดง,Din Daeng,4.618,"68,251","14,779.34",ดินแดง,Din Daeng
สำราญราษฎร์,Samran Rat,0.23,"2,654","11,539.13",พระนคร,Phra Nakhon
หัวหมาก,Hua Mak,16.461,"67,533","4,102.61",บางกะปิ,Bang Kapi
สำเหร่,Samre,1.23,"13,412","10,904.07",ธนบุรี,Thon Buri
มีนบุรี,Min Buri,28.459,"95,942","3,371.24",มีนบุรี,Min Buri
