district_name,district_group,budget_year,accident_number,death_number
จตุจักร,กรุงเทพเหนือ,2564,26,26
บางซื่อ,กรุงเทพเหนือ,2564,13,13
ลาดพร้าว,กรุงเทพเหนือ,2564,18,18
สำนักงนเขตหลักสี่,กรุงเทพเหนือ,2564,7,7
ดอนเมือง,กรุงเทพเหนือ,2564,19,20
สายไหม,กรุงเทพเหนือ,2564,21,23
บางเขน,กรุงเทพเหนือ,2564,10,11
คลองสมวา,กรุงเทพตะวันออก,2564,20,20
มีนบุรี,กรุงเทพตะวันออก,2564,24,26
บึงกุ่ม,กรุงเทพตะวันออก,2564,14,14
คันนายาว,กรุงเทพตะวันออก,2564,12,13
บางกะปิ,กรุงเทพตะวันออก,2564,10,10
หนองจอก,กรุงเทพตะวันออก,2564,52,54
ลาดกระบัง,กรุงเทพตะวันออก,2564,58,59
ประเวศ,กรุงเทพตะวันออก,2564,33,35
สะพานสูง,กรุงเทพตะวันออก,2564,6,6
สวนหลวง,กรุงเทพใต้,2564,14,15
คลองเตย,กรุงเทพใต้,2564,11,11
วัฒนา,กรุงเทพใต้,2564,9,10
บางรัก,กรุงเทพใต้,2564,5,5
บางนา,กรุงเทพใต้,2564,18,19
ปทุมวัน,กรุงเทพใต้,2564,6,6
พระโขนง,กรุงเทพใต้,2564,5,5
สาทร,กรุงเทพใต้,2564,5,5
บางคอแหลม,กรุงเทพใต้,2564,6,6
ยานนาวา,กรุงเทพใต้,2564,11,11
ดินแดง,กรุงเทพกลาง,2564,7,7
ราชเทวี,กรุงเทพกลาง,2564,10,12
ห้วยขวาง,กรุงเทพกลาง,2564,16,18
วังทองหลาง,กรุงเทพกลาง,2564,8,8
พระนคร,กรุงเทพกลาง,2564,4,4
ดุสิต,กรุงเทพกลาง,2564,9,10
ป้อมปราบศัตรูพ่าย,กรุงเทพกลาง,2564,3,3
สัมพันธวงศ์,กรุงเทพกลาง,2564,3,3
พญาไท,กรุงเทพกลาง,2564,6,6
คลองสาน,กรุงธนเหนือ,2564,13,14
ธนบุรี,กรุงธนเหนือ,2564,18,19
บางกอกใหญ่,กรุงธนเหนือ,2564,5,5
จอมทอง,กรุงธนเหนือ,2564,16,17
บางพลัด,กรุงธนเหนือ,2564,7,7
ตลิ่งชัน,กรุงธนเหนือ,2564,19,20
บางกอกน้อย,กรุงธนเหนือ,2564,12,13
ทวีวัฒนา,กรุงธนเหนือ,2564,18,18
ทุ่งครุ,กรุงธนใต้,2564,15,15
ราษฎร์บูรณะ,กรุงธนใต้,2564,16,16
บางขุนเทียน,กรุงธนใต้,2564,41,41
บางบอน,กรุงธนใต้,2564,25,27
หนองแขม,กรุงธนใต้,2564,13,13
บางแค,กรุงธนใต้,2564,27,27
ภาษีเจริญ,กรุงธนใต้,2564,17,18
จตุจักร,กรุงเทพเหนือ,2565,34,39
บางซื่อ,กรุงเทพเหนือ,2565,12,12
ลาดพร้าว,กรุงเทพเหนือ,2565,19,19
สำนักงนเขตหลักสี่,กรุงเทพเหนือ,2565,13,13
ดอนเมือง,กรุงเทพเหนือ,2565,16,16
สายไหม,กรุงเทพเหนือ,2565,29,31
บางเขน,กรุงเทพเหนือ,2565,20,20
คลองสมวา,กรุงเทพตะวันออก,2565,27,27
มีนบุรี,กรุงเทพตะวันออก,2565,22,26
บึงกุ่ม,กรุงเทพตะวันออก,2565,19,21
คันนายาว,กรุงเทพตะวันออก,2565,19,21
บางกะปิ,กรุงเทพตะวันออก,2565,13,13
หนองจอก,กรุงเทพตะวันออก,2565,36,38
ลาดกระบัง,กรุงเทพตะวันออก,2565,55,56
ประเวศ,กรุงเทพตะวันออก,2565,31,34
สะพานสูง,กรุงเทพตะวันออก,2565,13,13
สวนหลวง,กรุงเทพใต้,2565,24,25
คลองเตย,กรุงเทพใต้,2565,15,15
วัฒนา,กรุงเทพใต้,2565,10,12
บางรัก,กรุงเทพใต้,2565,2,2
บางนา,กรุงเทพใต้,2565,14,14
ปทุมวัน,กรุงเทพใต้,2565,9,10
พระโขนง,กรุงเทพใต้,2565,9,9
สาทร,กรุงเทพใต้,2565,7,7
บางคอแหลม,กรุงเทพใต้,2565,6,8
ยานนาวา,กรุงเทพใต้,2565,17,19
ดินแดง,กรุงเทพกลาง,2565,15,15
ราชเทวี,กรุงเทพกลาง,2565,7,7
ห้วยขวาง,กรุงเทพกลาง,2565,13,14
วังทองหลาง,กรุงเทพกลาง,2565,11,11
พระนคร,กรุงเทพกลาง,2565,5,6
ดุสิต,กรุงเทพกลาง,2565,8,8
ป้อมปราบศัตรูพ่าย,กรุงเทพกลาง,2565,4,4
สัมพันธวงศ์,กรุงเทพกลาง,2565,0,0
พญาไท,กรุงเทพกลาง,2565,6,6
คลองสาน,กรุงธนเหนือ,2565,10,10
ธนบุรี,กรุงธนเหนือ,2565,18,18
บางกอกใหญ่,กรุงธนเหนือ,2565,4,4
จอมทอง,กรุงธนเหนือ,2565,18,18
บางพลัด,กรุงธนเหนือ,2565,8,8
ตลิ่งชัน,กรุงธนเหนือ,2565,19,20
บางกอกน้อย,กรุงธนเหนือ,2565,14,16
ทวีวัฒนา,กรุงธนเหนือ,2565,18,23
ทุ่งครุ,กรุงธนใต้,2565,6,6
ราษฎร์บูรณะ,กรุงธนใต้,2565,12,12
บางขุนเทียน,กรุงธนใต้,2565,46,69
บางบอน,กรุงธนใต้,2565,25,25
หนองแขม,กรุงธนใต้,2565,34,34
บางแค,กรุงธนใต้,2565,24,24
ภาษีเจริญ,กรุงธนใต้,2565,13,34
