id,dis_trict,amount,Rai,Ngan,Sqaure Wa,Area size (sq.m.),Area size district (sq.m.),Population,Green space ratio (sq.m./person),Percentage green space per district area
1.0,เขตคลองเตย,133,245,2,74.96,"393,099.84","12,994,000","89,013",4.42,3.03
2.0,เขตคลองสาน,49,109,2,9.0,"175,236.00","6,051,000","63,357",2.77,2.9
3.0,เขตคลองสามวา,262,"7,978",1,13.1,"12,765,252.40","110,686,000","214,311",59.56,11.53
4.0,เขตคันนายาว,166,"4,169",1,93.53,"6,671,174.12","25,980,000","94,194",70.82,25.68
5.0,เขตจตุจักร,181,534,0,10.57,"854,442.28","32,908,000","154,500",5.53,2.6
6.0,เขตจอมทอง,227,"1,396",0,39.79,"2,233,759.16","26,265,000","139,427",16.02,8.5
7.0,เขตดอนเมือง,145,"2,143",0,38.17,"3,428,952.68","36,803,000","166,047",20.65,9.32
8.0,เขตดินแดง,111,206,0,89.0,"329,956.00","8,354,000","110,780",2.98,3.95
9.0,เขตดุสิต,116,181,1,13.61,"290,054.44","10,665,000","74,584",3.89,2.72
10.0,เขตตลิ่งชัน,184,"2,472",2,48.28,"3,956,193.12","29,479,000","100,887",39.21,13.42
11.0,เขตทวีวัฒนา,144,"1,541",3,0.98,"2,466,803.92","50,219,000","80,349",30.7,4.91
12.0,เขตทุ่งครุ,226,"3,094",2,13.24,"4,951,252.96","30,741,000","124,064",39.91,16.11
13.0,เขตธนบุรี,106,286,1,83.12,"458,332.48","8,551,000","97,169",4.72,5.36
14.0,เขตบางเขน,158,"2,616",2,47.17,"4,186,588.68","42,123,000","184,231",22.72,9.94
15.0,เขตบางแค,227,"1,561",3,24.76,"2,498,899.04","44,456,000","192,481",12.98,5.62
16.0,เขตบางกอกใหญ่,65,334,3,77.0,"535,908.00","6,180,000","59,797",8.96,8.67
17.0,เขตบางกอกน้อย,162,521,3,34.98,"834,939.92","11,944,000","96,745",8.63,6.99
18.0,เขตบางกะปิ,208,762,3,96.46,"1,220,785.84","28,523,000","141,412",8.63,4.28
19.0,เขตบางขุนเทียน,210,"30,423",2,14.37,"48,677,657.48","120,687,000","185,595",262.28,40.33
20.0,เขตบางคอแหลม,79,201,0,94.48,"321,977.92","10,921,000","76,224",4.22,2.95
21.0,เขตบางซื่อ,163,692,2,66.39,"1,108,265.56","11,545,000","117,506",9.43,9.6
22.0,เขตบางนา,111,749,3,97.55,"1,199,990.20","18,789,000","85,001",14.12,6.39
23.0,เขตบางบอน,139,"1,044",2,96.12,"1,671,584.48","34,745,000","99,168",16.86,4.81
24.0,เขตบางพลัด,127,531,2,21.69,"850,486.76","11,360,000","86,571",9.82,7.49
25.0,เขตบางรัก,83,62,0,26.25,"99,305.00","5,536,000","41,701",2.38,1.79
26.0,เขตบึงกุ่ม,124,858,3,7.54,"1,374,030.16","24,311,000","136,108",10.1,5.65
27.0,เขตปทุมวัน,47,454,0,88.0,"726,752.00","8,369,000","39,399",18.45,8.68
28.0,เขตประเวศ,253,"2,812",1,94.15,"4,499,976.60","52,490,000","184,355",24.41,8.57
29.0,เขตป้อมปราบศัตรูพ่าย,15,21,2,94.63,"34,778.52","1,931,000","36,905",0.94,1.8
30.0,เขตพญาไท,142,235,1,72.35,"376,689.40","9,595,000","63,025",5.98,3.93
31.0,เขตพระโขนง,210,499,1,28.48,"798,913.92","13,986,000","85,070",9.39,5.71
32.0,เขตพระนคร,64,83,2,75.52,"133,902.08","5,536,000","39,345",3.4,2.42
33.0,เขตภาษีเจริญ,204,494,2,35.99,"791,343.96","17,834,000","121,716",6.5,4.44
34.0,เขตมีนบุรี,186,"4,777",2,40.83,"7,644,163.32","63,645,000","140,752",54.31,12.01
35.0,เขตยานนาวา,164,861,2,48.0,"1,378,592.00","16,662,000","72,833",18.93,8.27
36.0,เขตราชเทวี,131,398,3,8.18,"638,032.72","7,126,000","62,632",10.19,8.95
37.0,เขตราษฎร์บูรณะ,72,881,3,21.47,"1,410,885.88","15,782,000","74,977",18.82,8.94
38.0,เขตลาดกระบัง,201,"5,175",2,28.44,"8,280,913.76","123,859,000","181,253",45.69,6.69
39.0,เขตลาดพร้าว,164,456,0,18.22,"729,672.88","22,157,000","112,086",6.51,3.29
40.0,เขตวังทองหลาง,131,353,2,84.3,"565,937.20","19,265,000","103,056",5.49,2.94
41.0,เขตวัฒนา,130,352,2,66.5,"564,266.00","12,565,000","80,272",7.03,4.49
42.0,เขตสวนหลวง,153,460,1,26.61,"736,506.44","23,678,000","123,405",5.97,3.11
43.0,เขตสะพานสูง,185,"2,350",3,79.23,"3,761,516.92","28,124,000","97,659",38.52,13.37
44.0,เขตสัมพันธวงศ์,12,6,0,39.87,"9,759.48","1,416,000","18,845",0.52,0.69
45.0,เขตสาทร,113,245,3,33.91,"393,335.64","9,326,000","70,320",5.59,4.22
46.0,เขตสายไหม,188,"2,415",0,38.15,"3,864,152.60","44,615,000","212,575",18.18,8.66
47.0,เขตหนองแขม,185,"2,917",3,31.07,"4,668,524.28","35,825,000","154,956",30.13,13.03
48.0,เขตหนองจอก,163,"14,762",2,70.59,"23,620,282.36","236,261,000","186,227",126.84,10.0
49.0,เขตหลักสี่,139,673,1,44.05,"1,077,376.20","22,841,000","98,177",10.97,4.72
50.0,เขตห้วยขวาง,158,"1,686",3,50.27,"2,699,001.08","15,033,000","83,958",32.15,17.95
,รวมพื้นที่กรุงเทพมหานคร,"7,316",108118,0,40.9,"172,960,203.68","1,568,737,000.00","5,455,020.00",31.71,11.03
