id,district_name,jan_lowest_PM2.5,jan_highest_PM2.5,jan_average_PM2.5,jan_day_exceeding_month,feb_lowest_PM2.5,feb_highest_PM2.5,feb_average_PM2.5,feb_day_exceeding_month,mar_lowest_PM2.5,mar_highest_PM2.5,mar_average_PM2.5,mar_day_exceeding_month,apr_lowest_PM2.5,apr_highest_PM2.5,apr_average_PM2.5,apr_day_exceeding_month,may_lowest_PM2.5,may_highest_PM2.5,may_average_PM2.5,may_day_exceeding_month,jun_lowest_PM2.5,jun_highest_PM2.5,jun_average_PM2.5,jun_day_exceeding_month,jul_lowest_PM2.5,jul_highest_PM2.5,jul_average_PM2.5,jul_day_exceeding_month,aug_lowest_PM2.5,aug_highest_PM2.5,aug_average_PM2.5,aug_day_exceeding_month,sep_lowest_PM2.5,sep_highest_PM2.5,sep_average_PM2.5,sep_day_exceeding_month,oct_lowest_PM2.5,oct_highest_PM2.5,oct_average_PM2.5,oct_day_exceeding_month,nov_lowest_PM2.5,nov_highest_PM2.5,nov_average_PM2.5,nov_day_exceeding_month,dec_lowest_PM2.5,dec_highest_PM2.5,dec_average_PM2.5,dec_day_exceeding_month,location
1,ราชเทวี,22.1,58.9,34.2,9.0,13.1,63.2,27.3,4.0,13.9,32.2,20.2,0,11.5,50.7,23.2,2.0,6.1,37.3,17.6,0.0,6.2,12.8,9.1,0.0, - , - , - , - ,6.8,16.4,9,0.0,7.8,24.9,12.5,0.0,8.9,33.9,16.8,0.0,11.7,37.7,20.3,1.0,13.5,43.5,27.8,3.0,สวนสันติภาพ
2,ปทุมวัน,19.8,55.6,30.8,5.0,10.7,58.9,23.4,4.0, - , - , - , - , - , - , - ,0.0, - , - , - ,0.0, - , - , - ,0.0, - , - , - , - ,5.3,11.8,8.5,0.0, - , - , - ,0.0,5.9,29.0,15.3,0.0,11.3,33.0,18.6,0.0,16.7,39.1,26.4,1.0,สวนลุมพินี
3,คลองเตย,24.3,58.5,35.8,10.0,16.0,70.9,32.3,4.0,14.5,20.7,17.7,0,11.8,48.5,22.7,2.0,6.7,37.9,18,1.0,6.5,6.9,6.7,0.0, - , - , - , - , - , - , - ,0.0,8.6,24.4,12.9,0.0,6.3,32.6,17.0,0.0,13.2,36.6,21.8,0.0,15.2,43.0,29.3,4.0,อุทยานเบญจสิริ
4,คลองเตย,21.7,61.8,35.5,10.0,12.7,68.4,27.9,4.0,13.4,21,17,0,11.1,50,22.2,2.0,6.5,36.7,17.4,0.0,5.8,5.9,5.9,0.0, - , - , - , - , - , - , - ,0.0,8.4,25.8,14,0.0,8.0,32.3,16.6,0.0,12.3,36.1,21.0,0.0,15.1,42.2,27.9,3.0,สวนเบญจกิติ
5,บางคอแหลม,21.0,55.9,33.0,8.0,10.6,63.5,23.2,4.0,10.6,44.1,18.9,1,8.8,42,19,1.0,7.4,33,16.6,0.0,6,12.9,8.7,0.0, - , - , - , - , - , - , - ,0.0,8.9,35.2,15.5,0.0,7.7,34.2,19.1,0.0,13.3,41.0,22.6,3.0,15.7,44.2,28.8,4.0,สวนสาธารณะเฉลิมพระเกียรติ 6 รอบพระชนมพรรษา
6,ดอนเมือง,25.8,59.9,42.5,18.0,18.8,73.1,38.2,6.0, - , - , - , - ,13.8,38.5,23.1,1.0,10.2,37.3,22.7,0.0,9.1,16.5,11.8,0.0, - , - , - , - , - , - , - ,0.0,8.7,23.5,14.9,0.0,8.9,30.6,17.5,0.0,14.7,40.8,25.2,2.0,18.9,52.4,35.2,13.0,สวนรมณีย์ทุ่งสีกัน
7,บางเขน,23.6,55.5,36.9,13.0,13.0,66.2,28.8,5.0,14.1,21.6,18,0,12.8,47.2,23.1,1.0,8.7,36,18.3,0.0,7.5,11.5,9.3,0.0,6,19.5,10,0,7.7,13.9,9.6,0.0,6.2,21.2,12.4,0.0,8.0,28.7,16.1,0.0,15.5,37.4,22.0,0.0,14.9,40.6,29.8,4.0,สวนกีฬารามอินทรา
8,จตุจักร,23.2,59.3,35.5,11.0,12.5,63.4,28.0,4.0,14.4,32.2,21.6,0,12.5,51.8,23.7,2.0,11.3,37.6,21.6,1.0,7.2,11.7,9.6,0.0,6.4,13.3,9.2,0,6.3,14.3,9.1,0.0,6.8,22.3,12.7,0.0,7.0,28.9,15.5,0.0,13.1,36.6,20.8,0.0,13.9,42.4,28.5,3.0,สวนวชิรเบญจทัศ
9,จตุจักร,22.4,57.7,34.0,10.0,13.9,61.4,27.8,4.0,15.4,31.8,21.9,0,13.2,50.4,24.1,3.0,9.6,37.6,18.9,1.0,7.1,12.3,9.5,0.0, - , - , - , - , - , - , - ,0.0,8.3,22.1,12.4,0.0,7.3,28.0,15.7,0.0,13.6,35.9,20.8,0.0,15.3,41.0,28.3,2.0,สวนจตุจักร
10,จตุจักร,22.5,60.1,34.7,10.0,13.2,65.5,28.4,4.0,14.2,34.1,22.1,0,11.9,50.1,23.8,3.0,7.3,38,18,1.0,7,10.2,8.2,0.0, - , - , - , - , - , - , - ,0.0,8.2,23.9,13.4,0.0,7.5,28.5,15.8,0.0,11.5,35.7,20.4,0.0,12.5,45.7,28.2,3.0,สวนสมเด็จพระนางเจ้าสิริกิติ์ฯ
