type,coords,ticket_id,organization,comment photo,photo_after,address,subdistrict,district,province,timestamp,state,star,count_reopen,last_activity
Point,"[100.48765, 13.71111]",2025-7E6HVV,"กรุงเทพมหานคร, เขตธนบุรี, ฝ่ายพัฒนาชุมชนฯ เขตธนบุรี, ฝ่ายเทศกิจ เขตธนบุรี",https://storage.googleapis.com/traffy_public_bucket/attachment/2025-05/4f858081cce4ee7fcdc9bed4fc48a55b.jpg,,452 ถนน สมเด็จพระเจ้าตากสิน แขวงบุคคโล ธนบุรี กรุงเทพมหานคร 10600 ประเทศไทย,บุคคโล,ธนบุรี,กรุงเทพมหานคร,2025-05-06 13:49:12,รอรับเรื่อง,,0,2025-05-06 13:49:12
Point,"[100.48281, 13.69608]",2025-8ZZAG3,"กรุงเทพมหานคร, เขตธนบุรี",https://storage.googleapis.com/traffy_public_bucket/attachment/2025-05/041b3eee87b8403521f2fb5068e109a0.jpg,,"MFWM+C56 ถนน สมเด็จพระเจ้าตากสิน บุคคโล, เขตธนบุรี กรุงเทพมหานคร 10600 ประเทศไทย",ดาวคะนอง,ธนบุรี,กรุงเทพมหานคร,2025-05-06 13:49:12,รอรับเรื่อง,,0,2025-05-06 13:49:12
Point,"[100.49553, 13.7387]",2025-97CD7L,"กรุงเทพมหานคร, เขตธนบุรี",https://storage.googleapis.com/traffy_public_bucket/attachment/2025-05/abcd9e8bd6ca19cd19aca598be962784.jpg,,เลขที่ 1 ถนน เทศบาล สาย แขวงวัดกัลยา เขตธนบุรี กรุงเทพมหานคร 10600 ประเทศไทย,วัดกัลยาณ์,ธนบุรี,กรุงเทพมหานคร,2025-05-06 13:47:06,รอรับเรื่อง,,0,2025-05-06 13:47:06
Point,"[100.48564, 13.72464]",2025-7Y4C6H,"กรุงเทพมหานคร, เขตธนบุรี",https://storage.googleapis.com/traffy_public_bucket/attachment/2025-05/2bfc5a1d93dbe22145673c0efb36bbc8.jpg,,162 ถ. เทอดไท แขวงบางยี่เรือ เขตธนบุรี กรุงเทพมหานคร 10600 ประเทศไทย,บางยี่เรือ,ธนบุรี,กรุงเทพมหานคร,2025-05-06 13:46:31,รอรับเรื่อง,,0,2025-05-06 13:46:31
Point,"[100.71571, 13.73133]",2025-VPHZC7,"กรุงเทพมหานคร, เขตลาดกระบัง",https://storage.googleapis.com/traffy_public_bucket/attachment/2025-05/fb302889341b3b80fec9bf81031088b2.jpg,,PPJ8+M8W แขวงคลองสองต้นนุ่น เขตลาดกระบัง กรุงเทพมหานคร 10520 ประเทศไทย,คลองสองต้นนุ่น,ลาดกระบัง,กรุงเทพมหานคร,2025-05-06 13:44:23,รอรับเรื่อง,,0,2025-05-06 13:44:23
Point,"[100.48605, 13.72122]",2025-WUG29A,"กรุงเทพมหานคร, เขตธนบุรี, ฝ่ายเทศกิจ เขตธนบุรี",https://storage.googleapis.com/traffy_public_bucket/attachment/2025-05/bf47ab6727c32307625f676f84c47428.jpg,,PFCP+GF9 1061 แขวง หิรัญรูจี เขตธนบุรี กรุงเทพมหานคร 10600 ประเทศไทย,บางยี่เรือ,ธนบุรี,กรุงเทพมหานคร,2025-05-06 13:42:42,รอรับเรื่อง,,0,2025-05-06 13:42:42
Point,"[100.49078, 13.70624]",2025-VBDHUH,"กรุงเทพมหานคร, เขตธนบุรี, สน.สำเหร่, กองบัญชาการตำรวจนครบาล (บช.น.), สำนักงานตำรวจแห่งชาติ (Royal Thai Police), กองบังคับการตำรวจนครบาล 8 (บก.น.8)",https://storage.googleapis.com/traffy_public_bucket/attachment/2025-05/317461cb7ae2c119a4e0a6037c27e750.jpg,,สน.บุคคโล / สน. สำเหร่ แขวงสำเหร่ เขตธนบุรี กรุงเทพมหานคร 10600 ประเทศไทย,สำเหร่,ธนบุรี,กรุงเทพมหานคร,2025-05-06 13:41:53,ส่งต่อ(ใหม่),,0,2025-05-06 13:41:53
Point,"[100.58085, 13.72254]",2025-ZEFPAY,"กรุงเทพมหานคร, เขตคลองเตย, สำนักการโยธา กทม., สำนักงานก่อสร้างและบูรณะ สำนักการโยธา (สกบ.สนย.) กทม.",https://storage.googleapis.com/traffy_public_bucket/attachment/2025-05/d21f28cdc750bae1669b6fcbb4bf3968.jpg,,PHFJ+298 แยกบ้านกล้วยใต้ ซ. บ้านกล้วยใต้ แขวงพระโขนง เขตคลองเตย กรุงเทพมหานคร 10110 ประเทศไทย,พระโขนง,คลองเตย,กรุงเทพมหานคร,2025-05-06 13:41:23,ส่งต่อ(ใหม่),,0,2025-05-06 13:41:23
Point,"[100.44112, 13.75216]",AFGG2G,"ร้องทุกข์ กทม. 1555, กรุงเทพมหานคร, เขตตลิ่งชัน",https://storage.googleapis.com/traffy_public_bucket/attachment/2025-05/c50c511587f2a2ddab4217734bcb93f6.jpg,,วัดเพลงกลางสวน (ฝั่งพรานนกตัดใหม่) แขวงบางพรม เขตตลิ่งชัน กรุงเทพมหานคร 10170 ประเทศไทย,บางพรม,ตลิ่งชัน,กรุงเทพมหานคร,2025-05-06 13:41:18,ส่งต่อ(ใหม่),,0,2025-05-06 13:41:18
Point,"[100.48571, 13.72104]",2025-KX9H4Z,"กรุงเทพมหานคร, เขตธนบุรี",https://storage.googleapis.com/traffy_public_bucket/attachment/2025-05/0a514d66a71d6d005272681bebdad266.jpg,,76 ถ. เทอดไท แขวงบางยี่เรือ เขตธนบุรี กรุงเทพมหานคร 10600 ประเทศไทย,บางยี่เรือ,ธนบุรี,กรุงเทพมหานคร,2025-05-06 13:40:22,รอรับเรื่อง,,0,2025-05-06 13:40:22
