Fluorescent_kg,battery_kg,chemicals_kg,product remains_kg,another_kg,total_kg,month,year
" 15,127 "," 5,135 "," 20,946 "," 11,912 "," 3,730 "," 56,850 ",10,2564
" 13,404 "," 4,616 "," 19,790 "," 10,755 "," 1,100 "," 49,665 ",11,2564
" 15,134 "," 5,555 "," 26,712 "," 15,039 "," 4,860 "," 67,300 ",12,2564
" 15,930 "," 6,615 "," 26,022 "," 16,150 "," 1,973 "," 66,690 ",1,2565
" 15,389 "," 7,729.50 "," 20,332 "," 13,815 "," 1,235 "," 58,501 ",2,2565
" 14,297 "," 7,812 "," 31,571 "," 8,520 "," 1,330 "," 63,530 ",3,2565
" 13,915 "," 6,517 "," 19,278 "," 9,750 "," 2,740 "," 52,200 ",4,2565
" 13,236 "," 3,913 "," 17,873 "," 11,146 "," 2,057 "," 48,225 ",5,2565
" 13,955 "," 4,818 "," 21,542 "," 10,350 "," 2,575 "," 53,240 ",6,2565
" 11,858 "," 3,324 "," 14,208 "," 9,755 "," 1,405 "," 40,550 ",7,2565
" 15,635 "," 4,645 "," 14,335 "," 7,805 "," 2,300 "," 44,720 ",8,2565
" 17,555 "," 6,995 "," 18,365 "," 10,880 "," 2,100 "," 55,895 ",9,2565
