type,coords,ticket_id,organization,comment photo,photo_after,address,subdistrict,district,province,timestamp,state,star,count_reopen,last_activity
Point,"[100.57114, 13.77975]",4LE4C4,"ร้องทุกข์ กทม. 1555, กรุงเทพมหานคร, เขตดินแดง",https://storage.googleapis.com/traffy_public_bucket/attachment/2025-05/4a7cdd14919ad7872065ede151832f0d.jpg,,7 รัชดาภิเษก 13 แขวงรัชดาภิเษก เขตดินแดง กรุงเทพมหานคร 10400 ประเทศไทย,ดินแดง,ดินแดง,กรุงเทพมหานคร,2025-05-06 03:46:41,ส่งต่อ(ใหม่),,0,2025-05-06 03:46:41
Point,"[100.45575, 13.71957]",2025-FRFL2P,"กรุงเทพมหานคร, เขตภาษีเจริญ",https://storage.googleapis.com/traffy_public_bucket/attachment/2025-05/1d5378b85a835fa923cedfeec41e7327.jpg,,1 ถ.เพชรเกษม แขวงปากคลองภาษีเจริญ เขตภาษีเจริญ กรุงเทพมหานคร 10160 ประเทศไทย,ปากคลองภาษีเจริญ,ภาษีเจริญ,กรุงเทพมหานคร,2025-05-06 03:45:50,รอรับเรื่อง,,0,2025-05-06 03:45:50
Point,"[100.51346, 13.73731]",2025-D3ZY9V,"กรุงเทพมหานคร, เขตสัมพันธวงศ์",https://storage.googleapis.com/traffy_public_bucket/attachment/2025-05/323068d902a94f611ec401ffc9211cf6.jpg,,314 ถ มิตรภาพไทย - จีน แขวงตลาดน้อย เขตสัมพันธวงศ์ กรุงเทพมหานคร 10100 ประเทศไทย,ตลาดน้อย,สัมพันธวงศ์,กรุงเทพมหานคร,2025-05-06 03:33:23,รอรับเรื่อง,,0,2025-05-06 03:33:23
Point,"[100.51346, 13.73731]",2025-MX3ZY6,"กรุงเทพมหานคร, เขตสัมพันธวงศ์",https://storage.googleapis.com/traffy_public_bucket/attachment/2025-05/f27f012098b739c00a96ccea15af6071.jpg,,314 ถ มิตรภาพไทย - จีน แขวงตลาดน้อย เขตสัมพันธวงศ์ กรุงเทพมหานคร 10100 ประเทศไทย,ตลาดน้อย,สัมพันธวงศ์,กรุงเทพมหานคร,2025-05-06 03:31:42,รอรับเรื่อง,,0,2025-05-06 03:31:42
Point,"[100.59167, 13.92551]",2025-C6H9LF,"กรุงเทพมหานคร, เขตดอนเมือง",https://storage.googleapis.com/traffy_public_bucket/attachment/2025-05/beeba10d333f9f087b01dd08b6239acc.jpg,,301 ถนน สรงประภา แขวงดอนเมือง ดอนเมือง กรุงเทพมหานคร 10210 ประเทศไทย,ดอนเมือง,ดอนเมือง,กรุงเทพมหานคร,2025-05-06 02:55:31,รอรับเรื่อง,,0,2025-05-06 02:55:31
Point,"[100.38822, 13.57516]",2025-6PFPX4,"กรุงเทพมหานคร, เขตบางขุนเทียน",https://storage.googleapis.com/traffy_public_bucket/attachment/2025-05/987c9103a8ffa4884ad557a259d4f9b6.jpg,,4/59 ถนนแสมดำ แขวงแสมดำ เขตบางขุนเทียน กรุงเทพมหานคร 10150 ประเทศไทย,แสมดำ,บางขุนเทียน,จังหวัดกรุงเทพมหานคร,2025-05-06 02:29:50,รอรับเรื่อง,,0,2025-05-06 02:29:50
Point,"[100.38822, 13.57516]",2025-WWNX4K,"กรุงเทพมหานคร, เขตบางขุนเทียน",https://storage.googleapis.com/traffy_public_bucket/attachment/2025-05/313e08c83d1059c4e9dfd3621687cbde.jpg,,4/59 ถนนแสมดำ แขวงแสมดำ เขตบางขุนเทียน กรุงเทพมหานคร 10150 ประเทศไทย,แสมดำ,บางขุนเทียน,จังหวัดกรุงเทพมหานคร,2025-05-06 02:29:49,รอรับเรื่อง,,0,2025-05-06 02:29:49
Point,"[100.38821, 13.57443]",MDK7EN,"ร้องทุกข์ กทม. 1555, กรุงเทพมหานคร, เขตบางขุนเทียน",https://storage.googleapis.com/traffy_public_bucket/attachment/2025-05/d8d50d794a35cd3caa458fb4f905b2be.jpg,,495/1 ถนนแสมดำ แขวงแสมดำ เขตบางขุนเทียน กรุงเทพมหานคร 10150 ประเทศไทย,แสมดำ,บางขุนเทียน,จังหวัดกรุงเทพมหานคร,2025-05-06 02:27:14,ส่งต่อ(ใหม่),,0,2025-05-06 02:27:14
Point,"[100.49277, 13.72564]",2025-96RLEA,"กรุงเทพมหานคร, เขตธนบุรี",https://storage.googleapis.com/traffy_public_bucket/attachment/2025-05/26f4cd009feb95db5fd1ebcb56d433ca.jpg,,32 ถนน สมเด็จพระเจ้าตากสิน แขวงบางยี่เรือ เขตธนบุรี กรุงเทพมหานคร 10600 ประเทศไทย,บางยี่เรือ,ธนบุรี,กรุงเทพมหานคร,2025-05-06 02:00:41,รอรับเรื่อง,,0,2025-05-06 02:00:41
Point,"[100.67013, 13.69037]",RCE6KR,"ร้องทุกข์ กทม. 1555, กรุงเทพมหานคร, เขตประเวศ",https://storage.googleapis.com/traffy_public_bucket/attachment/2025-05/3e63f4edd3bc0eb98501cf5ec148aeb0.jpg,,23/41 เฉลิมพระเกีรยติ ร.9 ซอย 41 แขวงหนองบอน เขตประเวศ กรุงเทพมหานคร 10250 ประเทศไทย,หนองบอน,ประเวศ,กรุงเทพมหานคร,2025-05-06 01:54:27,ส่งต่อ(ใหม่),,0,2025-05-06 01:54:27
Point,"[100.57209, 13.77308]",2025-DR8BYL,"กรุงเทพมหานคร, เขตดินแดง",https://storage.googleapis.com/traffy_public_bucket/attachment/2025-05/59bb04808952cf416494ee3186c2ec4f.jpg,,500 ซอย รัชดาภิเษก 7 แขวงดินแดง เขตดินแดง กรุงเทพมหานคร 10400 ประเทศไทย,ดินแดง,ดินแดง,กรุงเทพมหานคร,2025-05-06 01:27:25,รอรับเรื่อง,,0,2025-05-06 01:27:25
Point,"[100.64092, 13.76543]",CGZGDZ,"ร้องทุกข์ กทม. 1555, กรุงเทพมหานคร, เขตบางกะปิ",https://storage.googleapis.com/traffy_public_bucket/attachment/2025-05/7dd67fdb94772f9e99497e48b51e88de.jpg,,เลขที่ 3500 ถ. ลาดพร้าว แขวงคลองจั่น บางกะปิ กรุงเทพมหานคร 10240 ประเทศไทย,คลองจั่น,บางกะปิ,กรุงเทพมหานคร,2025-05-06 01:26:51,ส่งต่อ(ใหม่),,0,2025-05-06 01:26:51
Point,"[100.61641, 13.87172]",M9PX4B,"ร้องทุกข์ กทม. 1555, กรุงเทพมหานคร, เขตบางเขน",https://storage.googleapis.com/traffy_public_bucket/attachment/2025-05/16881d91a34507a93fc501a9a819cd62.jpg,,87/3 ซ. รามอินทรา 5 แยก 9 แขวงอนุสาวรีย์ เขตบางเขน กรุงเทพมหานคร 10220 ประเทศไทย,อนุสาวรีย์,บางเขน,กรุงเทพมหานคร,2025-05-06 01:25:48,ส่งต่อ(ใหม่),,0,2025-05-06 01:25:48
Point,"[100.59132, 13.9257]",2025-NCD7W2,"กรุงเทพมหานคร, เขตดอนเมือง",https://storage.googleapis.com/traffy_public_bucket/attachment/2025-05/5390e07c0af9be61074772cd9ea88629.jpg,,321 ถ. ประชาอุทิศ แขวงดอนเมือง ดอนเมือง กรุงเทพมหานคร 10210 ประเทศไทย,ดอนเมือง,ดอนเมือง,กรุงเทพมหานคร,2025-05-06 01:24:04,รอรับเรื่อง,,0,2025-05-06 01:24:04
Point,"[100.57398, 13.75218]",2025-NKNW64,"กรุงเทพมหานคร, เขตห้วยขวาง, ฝ่ายสิ่งแวดล้อมฯ เขตห้วยขวาง",https://storage.googleapis.com/traffy_public_bucket/attachment/2025-05/f1d9d2ed748369966e901b75174a7499.jpg,,9 ถนน จตุรทิศ แขวงบางกะปิ เขตห้วยขวาง กรุงเทพมหานคร 10310 ประเทศไทย,บางกะปิ,ห้วยขวาง,กรุงเทพมหานคร,2025-05-06 01:17:59,รอรับเรื่อง,,0,2025-05-06 01:17:59
Point,"[100.61612, 13.87184]",LXT6UC,"ร้องทุกข์ กทม. 1555, กรุงเทพมหานคร, เขตบางเขน",https://storage.googleapis.com/traffy_public_bucket/attachment/2025-05/1b7d75562ef23e6f84bfc124794d03c6.jpg,,87/3 ซ. รามอินทรา 5 แยก 9 แขวงอนุสาวรีย์ เขตบางเขน กรุงเทพมหานคร 10220 ประเทศไทย,อนุสาวรีย์,บางเขน,กรุงเทพมหานคร,2025-05-06 01:17:37,ส่งต่อ(ใหม่),,0,2025-05-06 01:17:37
Point,"[100.67012, 13.69038]",FJB72C,"ร้องทุกข์ กทม. 1555, กรุงเทพมหานคร, เขตประเวศ",https://storage.googleapis.com/traffy_public_bucket/attachment/2025-05/274e6b5b17281a484f9c9ef4b69de9ed.jpg,,23/41 เฉลิมพระเกีรยติ ร.9 ซอย 41 แขวงหนองบอน เขตประเวศ กรุงเทพมหานคร 10250 ประเทศไทย,หนองบอน,ประเวศ,กรุงเทพมหานคร,2025-05-06 01:11:59,ส่งต่อ(ใหม่),,0,2025-05-06 01:11:59
Point,"[100.51469, 13.76129]",2025-DCVREN,"กรุงเทพมหานคร, เขตดุสิต, สำนักการระบายน้ำ กทม.",https://storage.googleapis.com/traffy_public_bucket/attachment/2025-05/7508cd4fea789c97b355e9e5d74fb927.jpg,,545 ถ. นครสวรรค์ แขวงสี่แยกมหานาค เขตดุสิต กรุงเทพมหานคร 10300 ประเทศไทย,สวนจิตรลดา,ดุสิต,จังหวัดกรุงเทพมหานคร,2025-05-06 01:07:01,ส่งต่อ(ใหม่),,0,2025-05-06 01:07:01
Point,"[100.64234, 13.80035]",2025-MVKYBB,"กรุงเทพมหานคร, เขตบึงกุ่ม",https://storage.googleapis.com/traffy_public_bucket/attachment/2025-05/4011dfadeaa98987b29c80767e128d4c.jpg,,111 Pho Kaew Road แขวงนวมินทร์ เขตบึงกุ่ม กรุงเทพมหานคร 10230 ประเทศไทย,นวมินทร์,บึงกุ่ม,กรุงเทพมหานคร,2025-05-06 00:56:28,รอรับเรื่อง,,0,2025-05-06 00:56:28
Point,"[100.57044, 13.73023]",2025-JTYK8H,"กรุงเทพมหานคร, เขตวัฒนา",https://storage.googleapis.com/traffy_public_bucket/attachment/2025-05/54ca754d84e8e8b871576eae19d4b2f0.jpg,,675 ถ. สุขุมวิท แขวงคลองตันเหนือ เขตวัฒนา กรุงเทพมหานคร 10110 ประเทศไทย,คลองตันเหนือ,วัฒนา,กรุงเทพมหานคร,2025-05-06 00:53:31,รอรับเรื่อง,,0,2025-05-06 00:53:31
Point,"[100.57044, 13.73023]",2025-NRYXKP,"กรุงเทพมหานคร, เขตวัฒนา",https://storage.googleapis.com/traffy_public_bucket/attachment/2025-05/899d3b82778a0adb11c4a2aabbdc1d17.jpg,,675 ถ. สุขุมวิท แขวงคลองตันเหนือ เขตวัฒนา กรุงเทพมหานคร 10110 ประเทศไทย,คลองตันเหนือ,วัฒนา,กรุงเทพมหานคร,2025-05-06 00:51:13,รอรับเรื่อง,,0,2025-05-06 00:51:13
Point,"[100.85265, 13.697]",2025-HYWRCT,"กรุงเทพมหานคร, เขตลาดกระบัง, สำนักการจราจรและขนส่ง กรุงเทพมหานคร (สจส. กทม.)",https://storage.googleapis.com/traffy_public_bucket/attachment/2025-05/2f0a1dcfda5972c5dab1d3321a236d53.jpg,,MVW3+R28 แขวงขุมทอง เขตลาดกระบัง กรุงเทพมหานคร 10520 ประเทศไทย,ขุมทอง,ลาดกระบัง,กรุงเทพมหานคร,2025-05-06 00:47:23,ส่งต่อ(ใหม่),,0,2025-05-06 00:47:23
Point,"[100.64234, 13.80035]",2025-YZD47B,"กรุงเทพมหานคร, เขตบึงกุ่ม",https://storage.googleapis.com/traffy_public_bucket/attachment/2025-05/0e7fa1cccd443f92dc02232be6871167.jpg,,111 Pho Kaew Road แขวงนวมินทร์ เขตบึงกุ่ม กรุงเทพมหานคร 10230 ประเทศไทย,นวมินทร์,บึงกุ่ม,กรุงเทพมหานคร,2025-05-06 00:44:17,รอรับเรื่อง,,0,2025-05-06 00:44:17
Point,"[100.62529, 13.70095]",2025-CE9MF2,"กรุงเทพมหานคร, เขตพระโขนง",https://storage.googleapis.com/traffy_public_bucket/attachment/2025-05/e57e2f415a1e9fe5f7f2658ce585a75b.jpg,,246/365 ซอย พึ่งมี 50 แขวงบางจาก เขตพระโขนง กรุงเทพมหานคร 10260 ประเทศไทย,บางจาก,พระโขนง,กรุงเทพมหานคร,2025-05-06 00:41:45,รอรับเรื่อง,,0,2025-05-06 00:41:45
Point,"[100.84913, 13.69864]",2025-LR7PGG,"กรุงเทพมหานคร, เขตลาดกระบัง, สำนักการโยธา กทม., สำนักงานก่อสร้างและบูรณะ สำนักการโยธา (สกบ.สนย.) กทม.",https://storage.googleapis.com/traffy_public_bucket/attachment/2025-05/6c9c906840046b1d22290703d201515c.jpg,,78 ถ. หลวงแพ่ง แขวงขุมทอง เขตลาดกระบัง กรุงเทพมหานคร 10520 ประเทศไทย,ขุมทอง,ลาดกระบัง,กรุงเทพมหานคร,2025-05-06 00:41:38,ส่งต่อ(ใหม่),,0,2025-05-06 00:41:38
Point,"[100.5599, 13.79112]",2025-JKCMX6,"กรุงเทพมหานคร, เขตพญาไท",https://storage.googleapis.com/traffy_public_bucket/attachment/2025-05/271155edfe76e3402564f32922ac6e39.jpg,,30 ซอย อินทามระ 29 แยก 3 แขวงสามเสนใน เขตพญาไท กรุงเทพมหานคร 10400 ประเทศไทย,สามเสนใน,พญาไท,กรุงเทพมหานคร,2025-05-06 00:41:01,รอรับเรื่อง,,0,2025-05-06 00:41:01
Point,"[100.56447, 13.85474]",2025-YBLMTL,"กรุงเทพมหานคร, เขตจตุจักร",https://storage.googleapis.com/traffy_public_bucket/attachment/2025-05/db28540f9bbd734fcb16f598265cfddf.jpg,,24/51 ถ. กำแพงเพชร 6 แขวงลาดยาว เขตจตุจักร กรุงเทพมหานคร 10900 ประเทศไทย,ลาดยาว,จตุจักร,กรุงเทพมหานคร,2025-05-06 00:40:36,รอรับเรื่อง,,0,2025-05-06 00:40:36
Point,"[100.56454, 13.85459]",2025-Y9VUNW,"กรุงเทพมหานคร, เขตจตุจักร",https://storage.googleapis.com/traffy_public_bucket/attachment/2025-05/29ed44e7fd5e8692d6861a1c84f05167.jpg,,24/30 ถ. กำแพงเพชร 6 แขวงลาดยาว เขตจตุจักร กรุงเทพมหานคร 10900 ประเทศไทย,ลาดยาว,จตุจักร,กรุงเทพมหานคร,2025-05-06 00:38:54,รอรับเรื่อง,,0,2025-05-06 00:38:54
Point,"[100.56448, 13.85474]",2025-K7KY9Y,"กรุงเทพมหานคร, เขตจตุจักร",https://storage.googleapis.com/traffy_public_bucket/attachment/2025-05/a0e94863fb2765862b9bf31453867ca6.jpg,,24/51 ถ. กำแพงเพชร 6 แขวงลาดยาว เขตจตุจักร กรุงเทพมหานคร 10900 ประเทศไทย,ลาดยาว,จตุจักร,กรุงเทพมหานคร,2025-05-06 00:37:55,รอรับเรื่อง,,0,2025-05-06 00:37:55
Point,"[100.56471, 13.85492]",2025-8KTP63,"กรุงเทพมหานคร, เขตจตุจักร",https://storage.googleapis.com/traffy_public_bucket/attachment/2025-05/d3c5e85e27a1a8c9963348497ed84ae5.jpg,,24/51 ถ. กำแพงเพชร 6 แขวงลาดยาว เขตจตุจักร กรุงเทพมหานคร 10900 ประเทศไทย,ลาดยาว,จตุจักร,กรุงเทพมหานคร,2025-05-06 00:26:51,รอรับเรื่อง,,0,2025-05-06 00:26:51
Point,"[100.57171, 13.86799]",2025-4K8GKR,"กรุงเทพมหานคร, เขตหลักสี่",https://storage.googleapis.com/traffy_public_bucket/attachment/2025-05/f4992d9c987f6181cd657469d0427bc8.jpg,,444 หมู่ที่ 1 ถ. กำแพงเพชร 6 แขวงตลาดบางเขน เขตหลักสี่ กรุงเทพมหานคร 10210 ประเทศไทย,ตลาดบางเขน,หลักสี่,กรุงเทพมหานคร,2025-05-06 00:23:40,รอรับเรื่อง,,0,2025-05-06 00:23:40
Point,"[100.66682, 13.74932]",2025-32BG3A,"กรุงเทพมหานคร, เขตบางกะปิ",https://storage.googleapis.com/traffy_public_bucket/attachment/2025-05/2ea2988064ccb62bbad93ab948ef8df2.jpg,,701/1 ถนน กรุงเทพกรีฑา แขวงหัวหมาก บางกะปิ กรุงเทพมหานคร 10240 ประเทศไทย,หัวหมาก,บางกะปิ,กรุงเทพมหานคร,2025-05-06 00:22:03,รอรับเรื่อง,,0,2025-05-06 00:22:03
Point,"[100.66655, 13.74961]",2025-6EFLK7,"กรุงเทพมหานคร, เขตบางกะปิ",https://storage.googleapis.com/traffy_public_bucket/attachment/2025-05/97ff6284bd4acf312d29d24e878eb46e.jpg,,701/1 ถนน กรุงเทพกรีฑา แขวงหัวหมาก บางกะปิ กรุงเทพมหานคร 10240 ประเทศไทย,หัวหมาก,บางกะปิ,กรุงเทพมหานคร,2025-05-06 00:21:14,รอรับเรื่อง,,0,2025-05-06 00:21:14
Point,"[100.6669, 13.7493]",2025-2U842P,"กรุงเทพมหานคร, เขตบางกะปิ",https://storage.googleapis.com/traffy_public_bucket/attachment/2025-05/b87e94b79563c0822edad1ef8448391e.jpg,,701/1 ถนน กรุงเทพกรีฑา แขวงหัวหมาก บางกะปิ กรุงเทพมหานคร 10240 ประเทศไทย,หัวหมาก,บางกะปิ,กรุงเทพมหานคร,2025-05-06 00:20:57,รอรับเรื่อง,,0,2025-05-06 00:20:57
Point,"[100.66682, 13.74936]",2025-4NUD2V,"กรุงเทพมหานคร, เขตบางกะปิ",https://storage.googleapis.com/traffy_public_bucket/attachment/2025-05/56fe48277a73a814f614f361ff2ffc5e.jpg,,701/1 ถนน กรุงเทพกรีฑา แขวงหัวหมาก บางกะปิ กรุงเทพมหานคร 10240 ประเทศไทย,หัวหมาก,บางกะปิ,กรุงเทพมหานคร,2025-05-06 00:20:44,รอรับเรื่อง,,0,2025-05-06 00:20:44
Point,"[100.66679, 13.74924]",2025-HA7FEC,"กรุงเทพมหานคร, เขตบางกะปิ",https://storage.googleapis.com/traffy_public_bucket/attachment/2025-05/3bdc2a924a2484c23135b6269271245c.jpg,,701/1 ถนน กรุงเทพกรีฑา แขวงหัวหมาก บางกะปิ กรุงเทพมหานคร 10240 ประเทศไทย,หัวหมาก,บางกะปิ,กรุงเทพมหานคร,2025-05-06 00:20:40,รอรับเรื่อง,,0,2025-05-06 00:20:40
Point,"[100.66674, 13.74931]",2025-JD7XHF,"กรุงเทพมหานคร, เขตบางกะปิ",https://storage.googleapis.com/traffy_public_bucket/attachment/2025-05/9a5ae6264cb9709d9ebe8924dce79fe7.jpg,,701/1 ถนน กรุงเทพกรีฑา แขวงหัวหมาก บางกะปิ กรุงเทพมหานคร 10240 ประเทศไทย,หัวหมาก,บางกะปิ,กรุงเทพมหานคร,2025-05-06 00:20:28,รอรับเรื่อง,,0,2025-05-06 00:20:28
Point,"[100.66661, 13.74934]",2025-FVA3CE,"กรุงเทพมหานคร, เขตบางกะปิ",https://storage.googleapis.com/traffy_public_bucket/attachment/2025-05/738aa18559e419241a4ac05892cc3255.jpg,,701/1 ถนน กรุงเทพกรีฑา แขวงหัวหมาก บางกะปิ กรุงเทพมหานคร 10240 ประเทศไทย,หัวหมาก,บางกะปิ,กรุงเทพมหานคร,2025-05-06 00:20:07,รอรับเรื่อง,,0,2025-05-06 00:20:07
Point,"[100.66679, 13.74926]",2025-PPJEK2,"กรุงเทพมหานคร, เขตบางกะปิ",https://storage.googleapis.com/traffy_public_bucket/attachment/2025-05/3c1832a5a04fe73bcbc067b6561d489c.jpg,,701/1 ถนน กรุงเทพกรีฑา แขวงหัวหมาก บางกะปิ กรุงเทพมหานคร 10240 ประเทศไทย,หัวหมาก,บางกะปิ,กรุงเทพมหานคร,2025-05-06 00:19:54,รอรับเรื่อง,,0,2025-05-06 00:19:54
Point,"[100.68202, 13.75108]",2025-69HYFP,"กรุงเทพมหานคร, เขตสะพานสูง, สำนักการโยธา กทม., สำนักงานก่อสร้างและบูรณะ สำนักการโยธา (สกบ.สนย.) กทม.",https://storage.googleapis.com/traffy_public_bucket/attachment/2025-05/60842cc76f747d7501c5bbb0d6430cac.jpg,,88/1 ซอย กรุงเทพกรีฑา 37 แขวงทับช้าง สะพานสูง กรุงเทพมหานคร 10250 ประเทศไทย,สะพานสูง,สะพานสูง,กรุงเทพมหานคร,2025-05-06 00:17:56,ส่งต่อ(ใหม่),,0,2025-05-06 00:17:56
